//Kategorie;Name;Preis;Gewicht
Ausrüstung;Abdeckbare Laterne;7 GM;2 Pfd.
Ausrüstung;Angelhaken;1 SM;-
Ausrüstung;Blendlaterne;12 GM;3 Pfd.
Ausrüstung;Brecheisen;2 GM;5 Pfd.
Ausrüstung;Eimer (leer);5 SM;2 Pfd.
Ausrüstung;Eisentopf;8 SM;4 Pfd.
Ausrüstung;Fackel;1 KM;1 Pfd.
Ausrüstung;Fass (leer);2 GM;30 Pfd.
Ausrüstung;Fernglas;1.000 GM;1 Pfd.
Ausrüstung;Feuerholz (pro Tag);1 KM;20 Pfd.
Ausrüstung;Feuerstein und Stahl;1 GM;-
Ausrüstung;Fischernetz 1,50m x 1,50m);4 GM;5 Pfd.
Ausrüstung;Flasche (leer);3 KM;1-1/2 Pfd.
Ausrüstung;Flaschenzug;5 GM;5 Pfd.
Ausrüstung;Glocke;1 GM;-
Ausrüstung;Gürteltasche (leer);1 GM;½ Pfd.
Ausrüstung;Hammer;5 SM;2 Pfd.
Ausrüstung;Handschellen;15 GM;2 Pfd.
Ausrüstung;Handschellen [Meisterarbeit];50 GM;2 Pfd.
Ausrüstung;Handschellen, Mithral-;1.000 GM;2 Pfd.
Ausrüstung;Hanfseil (15 m);1 GM;10 Pfd.
Ausrüstung;Karten- und Schriftrollenbehälter;1 GM;½ Pfd.
Ausrüstung;Kerze;1 KM;-
Ausrüstung;Kette (3 m);30 GM;2 Pfd.
Ausrüstung;Kleiner Stahlspiegel;10 GM;½ Pfd.
Ausrüstung;Kletterhaken;1 SM;½ Pfd.
Ausrüstung;Korb (leer);4 GM;1 Pfd.
Ausrüstung;Krähenfüße;1 GM;2 Pfd.
Ausrüstung;Kreide, 1 Stück;1 KM;-
Ausrüstung;Lampe, gewöhnliche;1 SM;1 Pfd.
Ausrüstung;Leinwand (ca. 1 m²);1 SM;1 Pfd.
Ausrüstung;Leiter, 3 m;2 SM;20 Pfd.
Ausrüstung;Nähnadel;5 SM;-
Ausrüstung;Öl (Fläschchen mit ca. ½ Liter);1 SM;1 Pfd.
Ausrüstung;Papier (Blatt);4 SM;-
Ausrüstung;Pergament (Blatt);2 SM;-
Ausrüstung;Phiole für Tinte oder Trank;1 GM;-
Ausrüstung;Reiseproviant (pro Tag);5 SM;1 Pfd.
Ausrüstung;Rucksack (leer);2 GM;2 Pfd.
Ausrüstung;Sack (leer);1 SM;½ Pfd.
Ausrüstung;Schlafsack;1 SM;5 Pfd.
Ausrüstung;Schleifstein;2 KM;1 Pfd.
Ausrüstung;Einfaches Schloss;20 GM;1 Pfd.
Ausrüstung;Durchschnittliches Schloss;40 GM;1 Pfd.
Ausrüstung;Gutes Schloss;80 GM;1 Pfd.
Ausrüstung;Hervorragendes Schloss;150 GM;1 Pfd.
Ausrüstung;Seidenseil (15 m);10 GM;5 Pfd.
Ausrüstung;Seife (pro Pfund);5 SM;1 Pfd.
Ausrüstung;Siegelring;5 GM;-
Ausrüstung;Siegelwachs;1 GM;1 Pfd.
Ausrüstung;Signalpfeife;8 SM;-
Ausrüstung;Spaten oder Schaufel;2 GM;8 Pfd.
Ausrüstung;Spitzhacke;3 GM;10 Pfd.
Ausrüstung;Stab, 3 M;5 KM;8 Pfd.
Ausrüstung;Stundenglas;25 GM;1 Pfd.
Ausrüstung;Tinte (Fläschchen mit ca. 30 ml);8 GM;-
Ausrüstung;Tintenschreiber;1 SM;-
Ausrüstung;Tonbecher;2 KM;1 Pfd.
Ausrüstung;Tonhumpen;2 KM;5 Pfd.
Ausrüstung;Tonkrug;3 KM;9 Pfd.
Ausrüstung;Tragbarer Rammbock;10 GM;20 Pfd.
Ausrüstung;Truhe (leer);2 GM;25 Pfd.
Ausrüstung;Vorschlaghammer;1 GM;10 Pfd.
Ausrüstung;Wasserschlauch;1 GM;4 Pfd.
Ausrüstung;Wasseruhr;1.000 GM;200 Pfd.
Ausrüstung;Wein in Glasflasche;2 GM;1 Pfd.
Ausrüstung;Winterdecke;5 SM;3 Pfd.
Ausrüstung;Wurfhaken;1 GM;4 Pfd.
Ausrüstung;Zelt;10 GM;20 Pfd.
Substanzen;Alchemistenfeuer (Fläschchen);20 GM;1 Pfd.
Substanzen;Donnerstein;30 GM;1 Pfd.
Substanzen;Ewige Fackel;110 GM;1 Pfd.
Substanzen;Gegengift (Phiole);50 GM;-
Substanzen;Rauchstab;20 GM;½ Pfd.
Substanzen;Säure (Fläschchen);10 GM;1 Pfd.
Substanzen;Sonnenzepter;2 GM;1 Pfd.
Substanzen;Verstrickungsbeutel;50 GM;4 Pfd.
Substanzen;Weihwasser (Fläschchen);25 GM;1 Pfd.
Substanzen;Zündholz;1 GM;-
Werkzeug;Alchemistenlabor;200 GM;40 Pfd.
Werkzeug;Beutel für Materialkomponenten;5 GM;2 Pfd.
Werkzeug;Diebeswerkzeug;30 GM;1 Pfd.
Werkzeug;Diebeswerkzeug [Meisterarbeit];100 GM;2 Pfd.
Werkzeug;Heilertasche;50 GM;1 Pfd.
Werkzeug;Heiliges Symbol aus Holz;1 GM;-
Werkzeug;Heiliges Symbol, Eisen;5 GM;1 Pfd.
Werkzeug;Heiliges Symbol aus Silber;25 GM;1 Pfd.
Werkzeug;Heiliges Symbol, Gold;100 GM;1 Pfd.
Werkzeug;Heiliges Symbol, Platin;500 GM;1 Pfd.
Werkzeug;Heiliges Symbol, Tätowierung;100 GM;–
Werkzeug;Heiliges Symbol mit Geheimfach;+5 GM;–
Werkzeug;Heiliges Symbol mit Flasche;+10 GM;–
Werkzeug;Kaufmannswaage;2 GM;1 Pfd.
Werkzeug;Werkzeug;Kletterzeug;80 GM;5 Pfd.
Werkzeug;Lupe;100 GM;-
Werkzeug;Musikinstrument, gewöhnlich;5 GM;3 Pfd.
Werkzeug;Musikinstrument, Meisterarbeit;100 GM;3 Pfd.
